Group,Variable,Value,,,,,,,,,,,
January,1920,-0.24,,,,,,,,,,,
February,1920,-0.27,,,,,,,,,,,
March,1920,-0.12,,,,,,,,,,,
April,1920,-0.24,,,,,,,,,,,
May,1920,-0.27,,,,,,,,,,,
June,1920,-0.36,,,,,,,,,,,
July,1920,-0.3,,,,,,,,,,,
August,1920,-0.27,,,,,,,,,,,
September,1920,-0.22,,,,,,,,,,,
October,1920,-0.26,,,,,,,,,,,
November,1920,-0.26,,,,,,,,,,,
December,1920,-0.46,,,,,,,,,,,
January,1921,-0.04,,,,,,,,,,,
February,1921,-0.17,,,,,,,,,,,
March,1921,-0.23,,,,,,,,,,,
April,1921,-0.3,,,,,,,,,,,
May,1921,-0.3,,,,,,,,,,,
June,1921,-0.27,,,,,,,,,,,
July,1921,-0.15,,,,,,,,,,,
August,1921,-0.26,,,,,,,,,,,
September,1921,-0.19,,,,,,,,,,,
October,1921,-0.03,,,,,,,,,,,
November,1921,-0.13,,,,,,,,,,,
December,1921,-0.17,,,,,,,,,,,
January,1922,-0.33,,,,,,,,,,,
February,1922,-0.44,,,,,,,,,,,
March,1922,-0.15,,,,,,,,,,,
April,1922,-0.23,,,,,,,,,,,
May,1922,-0.33,,,,,,,,,,,
June,1922,-0.3,,,,,,,,,,,
July,1922,-0.27,,,,,,,,,,,
August,1922,-0.32,,,,,,,,,,,
September,1922,-0.36,,,,,,,,,,,
October,1922,-0.32,,,,,,,,,,,
November,1922,-0.14,,,,,,,,,,,
December,1922,-0.18,,,,,,,,,,,
January,1923,-0.28,,,,,,,,,,,
February,1923,-0.39,,,,,,,,,,,
March,1923,-0.34,,,,,,,,,,,
April,1923,-0.41,,,,,,,,,,,
May,1923,-0.33,,,,,,,,,,,
June,1923,-0.29,,,,,,,,,,,
July,1923,-0.3,,,,,,,,,,,
August,1923,-0.32,,,,,,,,,,,
September,1923,-0.31,,,,,,,,,,,
October,1923,-0.13,,,,,,,,,,,
November,1923,-0.02,,,,,,,,,,,
December,1923,-0.04,,,,,,,,,,,
January,1924,-0.23,,,,,,,,,,,
February,1924,-0.24,,,,,,,,,,,
March,1924,-0.08,,,,,,,,,,,
April,1924,-0.31,,,,,,,,,,,
May,1924,-0.18,,,,,,,,,,,
June,1924,-0.26,,,,,,,,,,,
July,1924,-0.29,,,,,,,,,,,
August,1924,-0.36,,,,,,,,,,,
September,1924,-0.32,,,,,,,,,,,
October,1924,-0.35,,,,,,,,,,,
November,1924,-0.21,,,,,,,,,,,
December,1924,-0.43,,,,,,,,,,,
January,1925,-0.38,,,,,,,,,,,
February,1925,-0.4,,,,,,,,,,,
March,1925,-0.27,,,,,,,,,,,
April,1925,-0.25,,,,,,,,,,,
May,1925,-0.29,,,,,,,,,,,
June,1925,-0.32,,,,,,,,,,,
July,1925,-0.26,,,,,,,,,,,
August,1925,-0.19,,,,,,,,,,,
September,1925,-0.19,,,,,,,,,,,
October,1925,-0.17,,,,,,,,,,,
November,1925,0.05,,,,,,,,,,,
December,1925,0.06,,,,,,,,,,,
January,1926,0.21,,,,,,,,,,,
February,1926,0.03,,,,,,,,,,,
March,1926,0.11,,,,,,,,,,,
April,1926,-0.12,,,,,,,,,,,
May,1926,-0.23,,,,,,,,,,,
June,1926,-0.26,,,,,,,,,,,
July,1926,-0.27,,,,,,,,,,,
August,1926,-0.13,,,,,,,,,,,
September,1926,-0.14,,,,,,,,,,,
October,1926,-0.11,,,,,,,,,,,
November,1926,-0.06,,,,,,,,,,,
December,1926,-0.29,,,,,,,,,,,
January,1927,-0.27,,,,,,,,,,,
February,1927,-0.18,,,,,,,,,,,
March,1927,-0.38,,,,,,,,,,,
April,1927,-0.31,,,,,,,,,,,
May,1927,-0.25,,,,,,,,,,,
June,1927,-0.27,,,,,,,,,,,
July,1927,-0.18,,,,,,,,,,,
August,1927,-0.24,,,,,,,,,,,
September,1927,-0.13,,,,,,,,,,,
October,1927,-0.01,,,,,,,,,,,
November,1927,-0.06,,,,,,,,,,,
December,1927,-0.33,,,,,,,,,,,
January,1928,-0.02,,,,,,,,,,,
February,1928,-0.09,,,,,,,,,,,
March,1928,-0.25,,,,,,,,,,,
April,1928,-0.27,,,,,,,,,,,
May,1928,-0.29,,,,,,,,,,,
June,1928,-0.38,,,,,,,,,,,
July,1928,-0.19,,,,,,,,,,,
August,1928,-0.22,,,,,,,,,,,
September,1928,-0.21,,,,,,,,,,,
October,1928,-0.19,,,,,,,,,,,
November,1928,-0.09,,,,,,,,,,,
December,1928,-0.16,,,,,,,,,,,
January,1929,-0.45,,,,,,,,,,,
February,1929,-0.58,,,,,,,,,,,
March,1929,-0.33,,,,,,,,,,,
April,1929,-0.4,,,,,,,,,,,
May,1929,-0.38,,,,,,,,,,,
June,1929,-0.43,,,,,,,,,,,
July,1929,-0.36,,,,,,,,,,,
August,1929,-0.32,,,,,,,,,,,
September,1929,-0.25,,,,,,,,,,,
October,1929,-0.14,,,,,,,,,,,
November,1929,-0.11,,,,,,,,,,,
December,1929,-0.54,,,,,,,,,,,
January,1930,-0.29,,,,,,,,,,,
February,1930,-0.27,,,,,,,,,,,
March,1930,-0.11,,,,,,,,,,,
April,1930,-0.24,,,,,,,,,,,
May,1930,-0.24,,,,,,,,,,,
June,1930,-0.21,,,,,,,,,,,
July,1930,-0.21,,,,,,,,,,,
August,1930,-0.15,,,,,,,,,,,
September,1930,-0.15,,,,,,,,,,,
October,1930,-0.11,,,,,,,,,,,
November,1930,0.18,,,,,,,,,,,
December,1930,-0.05,,,,,,,,,,,
January,1931,-0.1,,,,,,,,,,,
February,1931,-0.21,,,,,,,,,,,
